ID,TargetRLF1,TargetR1F1,TargetLLM
ID_TS_Aka_Gha_A3B1799D,"Le attività svolte saranno le attività, le funzioni e le attività di esecuzione della GBV.","Le attività svolte saranno le attività, le funzioni e le attività di esecuzione della GBV.","Le attività svolte saranno le attività, le funzioni e le attività di esecuzione della GBV."
ID_TS_Aka_Gha_1C80317F,Nini ekoki kopesa yo libaku ya koyeba soki nzoto na yo ezali na ntina mpo na yo moko to mpo na bana na yo?,Nini ekoki kopesa yo libaku ya koyeba soki nzoto na yo ezali na ntina mpo na yo moko to mpo na bana na yo?,Nini ekoki kopesa yo libaku ya koyeba soki nzoto na yo ezali na ntina mpo na yo moko to mpo na bana na yo?
ID_TS_Aka_Gha_06671AD1,"Como é que o mmabun pode afetar-se de tal modo que não usamos o mesmo poder sobre os seres humanos como um ""observador"" na hora de uma palavra ser feita, e quais são as coisas que podem ocorrer quando uma pessoa se torna má?","Como é que o mmabun pode afetar-se de tal modo que não usamos o mesmo poder sobre os seres humanos como um ""observador"" na hora de uma palavra ser feita, e quais são as coisas que podem ocorrer quando uma pessoa se torna má?","Como é que o mmabun pode afetar-se de tal modo que não usamos o mesmo poder sobre os seres humanos como um ""observador"" na hora de uma palavra ser feita, e quais são as coisas que podem ocorrer quando uma pessoa se torna má?"
ID_TS_Aka_Gha_BDD640FB,"How amammeré in me mmra, asetena in me suban, ne power to change an existing nkuro and life in me ka mmaabun nkitahodi ne akannifo jobs in ASRH?","How amammeré in me mmra, asetena in me suban, ne power to change an existing nkuro and life in me ka mmaabun nkitahodi ne akannifo jobs in ASRH?","How amammeré in me mmra, asetena in me suban, ne power to change an existing nkuro and life in me ka mmaabun nkitahodi ne akannifo jobs in ASRH?"
ID_TS_Aka_Gha_46685257,"Pourquoi la loi n'exige-t-elle pas qu'une ""défense de la politique"" ne fasse rien pour nous ?","Pourquoi la loi n'exige-t-elle pas qu'une ""défense de la politique"" ne fasse rien pour nous ?","Pourquoi la loi n'exige-t-elle pas qu'une ""défense de la politique"" ne fasse rien pour nous ?"
ID_TS_Aka_Gha_3EB13B90,Hoe kan vroue hulle eie oortuigings en gebruike in hulle eie huishoudings en in hulle gemeenskappe van kultuur en godsdienstige gebruike verkry wat verband hou met hulle eie gebruike en besluite?,Hoe kan vroue hulle eie oortuigings en gebruike in hulle eie huishoudings en in hulle gemeenskappe van kultuur en godsdienstige gebruike verkry wat verband hou met hulle eie gebruike en besluite?,Hoe kan vroue hulle eie oortuigings en gebruike in hulle eie huishoudings en in hulle gemeenskappe van kultuur en godsdienstige gebruike verkry wat verband hou met hulle eie gebruike en besluite?
ID_TS_Aka_Gha_392456DE,"Als ik weet dat ik moet zeggen hoe ik een ziekte (STI) heb, hoe kan ik dat doen?","Als ik weet dat ik moet zeggen hoe ik een ziekte (STI) heb, hoe kan ik dat doen?","Als ik weet dat ik moet zeggen hoe ik een ziekte (STI) heb, hoe kan ik dat doen?"
ID_TS_Aka_Gha_23B8C1E9,Qu'est-ce qui vous conseille de faire en sorte qu'il soit approprié d'utiliser Internet pour que vous puissiez aider les gens à ne pas le faire?,Qu'est-ce qui vous conseille de faire en sorte qu'il soit approprié d'utiliser Internet pour que vous puissiez aider les gens à ne pas le faire?,Qu'est-ce qui vous conseille de faire en sorte qu'il soit approprié d'utiliser Internet pour que vous puissiez aider les gens à ne pas le faire?
ID_TS_Aka_Gha_BC8960A9,Hoe kan ik er zeker van zijn dat mijn ouders het niet nodig hebben om mijn ouders te vertellen dat ze dat niet doen?,Hoe kan ik er zeker van zijn dat mijn ouders het niet nodig hebben om mijn ouders te vertellen dat ze dat niet doen?,Hoe kan ik er zeker van zijn dat mijn ouders het niet nodig hebben om mijn ouders te vertellen dat ze dat niet doen?
ID_TS_Aka_Gha_1A3D1FA7,"Comment les médias peuvent-ils s'attendre à ce que l'homme ait plus d'influence sur les autres, et comment peut-on s'assurer qu'un homme a plus de pouvoir sur l'autre?","Comment les médias peuvent-ils s'attendre à ce que l'homme ait plus d'influence sur les autres, et comment peut-on s'assurer qu'un homme a plus de pouvoir sur l'autre?","Comment les médias peuvent-ils s'attendre à ce que l'homme ait plus d'influence sur les autres, et comment peut-on s'assurer qu'un homme a plus de pouvoir sur l'autre?"
