ID,TargetRLF1,TargetR1F1,TargetLLM
ID_TS_Aka_Gha_A3B1799D,"Nneɛma a wɔde bɛyɛ nkyerɛkyerɛ nneɛma, adwumayɛbea ahorow, ne akuo ahorow a wɔreyɛ adwuma de asiw GBV ano no bi ne: Nhyehyɛe ahorow a wɔde di dwuma wɔ sukuu ahorow, mpɔtam hɔ ahyehyɛde ahorow, akwahosan ho adwumayɛfo akuw, ne mmeae a ahobammɔ wom a wɔde wɔn ho bɛhyɛ mu. Nhwehwɛmu asoɛe ahorow a wɔkamfo kyerɛ wɔ GBV nsɛm ho amanneɛbɔ mu a wɔde bedi dwuma de ahwɛ ahu sɛ GBV ho nsɛm a wɔka no yɛ nokware anaasɛ ɛnyɛ nokware.","Nneɛma a wɔde bɛyɛ nkyerɛkyerɛ nneɛma, adwumayɛbea ahorow, ne akuo ahorow a wɔreyɛ adwuma de asiw GBV ano no bi ne: Nhyehyɛe ahorow a wɔde di dwuma wɔ sukuu ahorow, mpɔtam hɔ ahyehyɛde ahorow, akwahosan ho adwumayɛfo akuw, ne mmeae a ahobammɔ wom a wɔde wɔn ho bɛhyɛ mu. Nhwehwɛmu asoɛe ahorow a wɔkamfo kyerɛ wɔ GBV nsɛm ho amanneɛbɔ mu a wɔde bedi dwuma de ahwɛ ahu sɛ GBV ho nsɛm a wɔka no yɛ nokware anaasɛ ɛnyɛ nokware.","Nneɛma a wɔde bɛyɛ nkyerɛkyerɛ nneɛma, adwumayɛbea ahorow, ne akuo ahorow a wɔreyɛ adwuma de asiw GBV ano no bi ne: Nhyehyɛe ahorow a wɔde di dwuma wɔ sukuu ahorow, mpɔtam hɔ ahyehyɛde ahorow, akwahosan ho adwumayɛfo akuw, ne mmeae a ahobammɔ wom a wɔde wɔn ho bɛhyɛ mu. Nhwehwɛmu asoɛe ahorow a wɔkamfo kyerɛ wɔ GBV nsɛm ho amanneɛbɔ mu a wɔde bedi dwuma de ahwɛ ahu sɛ GBV ho nsɛm a wɔka no yɛ nokware anaasɛ ɛnyɛ nokware."
ID_TS_Aka_Gha_1C80317F,"Mmabun hokwan a wɔwɔ sɛ wonya nipadua mu ahofadi wɔ nna ne awo akwahosan ho nhyehyɛe mu a wobu so no betumi de ɔhaw ahorow aba, a nea ɛka ho ne: Ɔbarima ne ɔbea nna, nyinsɛn a wosiw ano, nna mu yareɛ, ne nna mu nyarewa a wɔde di dwuma, nna ho akɔnnɔ, ne nyiyim a wɔhyɛ ho nkuran. Mmabun a wɔde wɔn ho bɛhyɛ mu a wɔbɛhyɛ mu no betumi anya asiane ahorow a ɛwɔ hɔ sɛ wɔbɛhyɛ wɔn ho wɔn ho so anaasɛ wɔbɛhwehwɛ mmoa afi mpanyimfo a wogye wɔn di hɔ.","Mmabun hokwan a wɔwɔ sɛ wonya nipadua mu ahofadi wɔ nna ne awo akwahosan ho nhyehyɛe mu a wobu so no betumi de ɔhaw ahorow aba, a nea ɛka ho ne: Ɔbarima ne ɔbea nna, nyinsɛn a wosiw ano, nna mu yareɛ, ne nna mu nyarewa a wɔde di dwuma, nna ho akɔnnɔ, ne nyiyim a wɔhyɛ ho nkuran. Mmabun a wɔde wɔn ho bɛhyɛ mu a wɔbɛhyɛ mu no betumi anya asiane ahorow a ɛwɔ hɔ sɛ wɔbɛhyɛ wɔn ho wɔn ho so anaasɛ wɔbɛhwehwɛ mmoa afi mpanyimfo a wogye wɔn di hɔ.","Mmabun hokwan a wɔwɔ sɛ wonya nipadua mu ahofadi wɔ nna ne awo akwahosan ho nhyehyɛe mu a wobu so no betumi de ɔhaw ahorow aba, a nea ɛka ho ne: Ɔbarima ne ɔbea nna, nyinsɛn a wosiw ano, nna mu yareɛ, ne nna mu nyarewa a wɔde di dwuma, nna ho akɔnnɔ, ne nyiyim a wɔhyɛ ho nkuran. Mmabun a wɔde wɔn ho bɛhyɛ mu a wɔbɛhyɛ mu no betumi anya asiane ahorow a ɛwɔ hɔ sɛ wɔbɛhyɛ wɔn ho wɔn ho so anaasɛ wɔbɛhwehwɛ mmoa afi mpanyimfo a wogye wɔn di hɔ."
ID_TS_Aka_Gha_06671AD1,"Mmabun betumi ahunu nsusuanso a ebetumi aba wɔ nnipa a wɔbɛgyina wɔn ho so bere a asɛm bi mu ayɛ den wɔ akwan horow pii so. Wobetumi de wɔn ho ahyɛ tebea horow a ahobammɔ wom mu, te sɛ nna mu akwahosan ho nhyehyɛe ahorow a wɔde wɔn ho bɛhyɛ mu, nkitahodi a ɛda adi pefee, ne abusuabɔ pa a wɔbɛma anya nkɔso. Sɛ obi gyina ano a, ebetumi ayɛ den sɛ ɔbɛte nka sɛ ne ho nyɛ no dɛ, na ebetumi ama ne ho atɔ no yiye.","Mmabun betumi ahunu nsusuanso a ebetumi aba wɔ nnipa a wɔbɛgyina wɔn ho so bere a asɛm bi mu ayɛ den wɔ akwan horow pii so. Wobetumi de wɔn ho ahyɛ tebea horow a ahobammɔ wom mu, te sɛ nna mu akwahosan ho nhyehyɛe ahorow a wɔde wɔn ho bɛhyɛ mu, nkitahodi a ɛda adi pefee, ne abusuabɔ pa a wɔbɛma anya nkɔso. Sɛ obi gyina ano a, ebetumi ayɛ den sɛ ɔbɛte nka sɛ ne ho nyɛ no dɛ, na ebetumi ama ne ho atɔ no yiye.","Mmabun betumi ahunu nsusuanso a ebetumi aba wɔ nnipa a wɔbɛgyina wɔn ho so bere a asɛm bi mu ayɛ den wɔ akwan horow pii so. Wobetumi de wɔn ho ahyɛ tebea horow a ahobammɔ wom mu, te sɛ nna mu akwahosan ho nhyehyɛe ahorow a wɔde wɔn ho bɛhyɛ mu, nkitahodi a ɛda adi pefee, ne abusuabɔ pa a wɔbɛma anya nkɔso. Sɛ obi gyina ano a, ebetumi ayɛ den sɛ ɔbɛte nka sɛ ne ho nyɛ no dɛ, na ebetumi ama ne ho atɔ no yiye."
ID_TS_Aka_Gha_BDD640FB,"Amammerɛ mu mmra, asetena mu suban, ne tumi mu nsakraeɛ a ɛwɔ nkuro ne atuhoamafoɔ mu no betumi aka mmaabun nkitahodi ne akannifoɔ dwumadie wɔ ASRH so, a nea ɛka ho ne: Ɔmanfoɔ amammerɛ a wɔbɛma anya nkɔsoɔ ne nkɔsoɔ. Asetena mu gyinapɛn ne tumi a wɔbɛhyɛ ho nkuran wɔ mpɔtam hɔ. Nsakraeɛ a ɛbɛtumi aba wɔ tumi a wɔde bɛma mmabun a wɔato wɔn hintidua ne wɔn a wɔde wɔn ho hyɛ mu no mu. Nkɔmmɔbɔ a ɛda adi pefee a wɔbɛkamfo akyerɛ: Asetra mu nneyɛe a wɔbɛkyɛ, ne nnipa a wɔhyɛ wɔn ho nkuran a wɔbɛkɔ wɔn nkyɛn no betumi asiw mmabun kwan sɛ wɔbɛhwehwɛ mmoa ne mmoa afi mpanyimfo a wogye wɔn di hɔ.","Amammerɛ mu mmra, asetena mu suban, ne tumi mu nsakraeɛ a ɛwɔ nkuro ne atuhoamafoɔ mu no betumi aka mmaabun nkitahodi ne akannifoɔ dwumadie wɔ ASRH so, a nea ɛka ho ne: Ɔmanfoɔ amammerɛ a wɔbɛma anya nkɔsoɔ ne nkɔsoɔ. Asetena mu gyinapɛn ne tumi a wɔbɛhyɛ ho nkuran wɔ mpɔtam hɔ. Nsakraeɛ a ɛbɛtumi aba wɔ tumi a wɔde bɛma mmabun a wɔato wɔn hintidua ne wɔn a wɔde wɔn ho hyɛ mu no mu. Nkɔmmɔbɔ a ɛda adi pefee a wɔbɛkamfo akyerɛ: Asetra mu nneyɛe a wɔbɛkyɛ, ne nnipa a wɔhyɛ wɔn ho nkuran a wɔbɛkɔ wɔn nkyɛn no betumi asiw mmabun kwan sɛ wɔbɛhwehwɛ mmoa ne mmoa afi mpanyimfo a wogye wɔn di hɔ.","Amammerɛ mu mmra, asetena mu suban, ne tumi mu nsakraeɛ a ɛwɔ nkuro ne atuhoamafoɔ mu no betumi aka mmaabun nkitahodi ne akannifoɔ dwumadie wɔ ASRH so, a nea ɛka ho ne: Ɔmanfoɔ amammerɛ a wɔbɛma anya nkɔsoɔ ne nkɔsoɔ. Asetena mu gyinapɛn ne tumi a wɔbɛhyɛ ho nkuran wɔ mpɔtam hɔ. Nsakraeɛ a ɛbɛtumi aba wɔ tumi a wɔde bɛma mmabun a wɔato wɔn hintidua ne wɔn a wɔde wɔn ho hyɛ mu no mu. Nkɔmmɔbɔ a ɛda adi pefee a wɔbɛkamfo akyerɛ: Asetra mu nneyɛe a wɔbɛkyɛ, ne nnipa a wɔhyɛ wɔn ho nkuran a wɔbɛkɔ wɔn nkyɛn no betumi asiw mmabun kwan sɛ wɔbɛhwehwɛ mmoa ne mmoa afi mpanyimfo a wogye wɔn di hɔ."
ID_TS_Aka_Gha_46685257,"Mmara nsesaeɛ 'policy advocacy' ho hia ma mmabun nyin wɔ biribiara mu ɛfiri sɛ: Ɛma mmabun tumi ma wɔde wɔn ho hyɛ nhyehyɛeɛ a ɛfa mmara mu nsakraeɛ ho, na ɛboa wɔn ma wɔsi gyinae a ɛfata wɔ mmara mu gyinapɛn ahorow ho. Ɛma wɔn tumi ma wɔhyɛ wɔn ho wɔn ho nkuran wɔ mmara kwan so nsakraeɛ mu, na ɛma mmabun nya nkɔsoɔ a ɛkɔ akyiri wɔ wɔn abrabɔ pa mu.","Mmara nsesaeɛ 'policy advocacy' ho hia ma mmabun nyin wɔ biribiara mu ɛfiri sɛ: Ɛma mmabun tumi ma wɔde wɔn ho hyɛ nhyehyɛeɛ a ɛfa mmara mu nsakraeɛ ho, na ɛboa wɔn ma wɔsi gyinae a ɛfata wɔ mmara mu gyinapɛn ahorow ho. Ɛma wɔn tumi ma wɔhyɛ wɔn ho wɔn ho nkuran wɔ mmara kwan so nsakraeɛ mu, na ɛma mmabun nya nkɔsoɔ a ɛkɔ akyiri wɔ wɔn abrabɔ pa mu.","Mmara nsesaeɛ 'policy advocacy' ho hia ma mmabun nyin wɔ biribiara mu ɛfiri sɛ: Ɛma mmabun tumi ma wɔde wɔn ho hyɛ nhyehyɛeɛ a ɛfa mmara mu nsakraeɛ ho, na ɛboa wɔn ma wɔsi gyinae a ɛfata wɔ mmara mu gyinapɛn ahorow ho. Ɛma wɔn tumi ma wɔhyɛ wɔn ho wɔn ho nkuran wɔ mmara kwan so nsakraeɛ mu, na ɛma mmabun nya nkɔsoɔ a ɛkɔ akyiri wɔ wɔn abrabɔ pa mu."
ID_TS_Aka_Gha_3EB13B90,"Mmabun betumi akari pɛ wɔ wɔn ankasa gyidi ne gyinapɛn ahorow ne wɔn mmusua ne mpɔtam hɔfo amammerɛ ne nyamesom akwanhwɛ ahorow a ɛfa nna mu nneyɛe ne awo ho gyinaesi ho denam: Wobetumi de wɔn ho ahyɛ nna mu akwahosan ho adwumayɛfo a wogye wɔn di ne wɔn a wɔde wɔn ho hyɛ mu no mu, na wɔahwɛ ahu sɛ wɔn gyidi ne wɔn gyidi ahorow yɛ pɛ. Wobetumi nso de wɔn adwene asi gyinaesi ahorow a ɛfata so, na wɔabu wɔn ho wɔn ho atɛn denam wɔn ankasa gyidie ne gyidi ahorow a wɔbɛda no adi wɔ wɔn abusua ne wɔn mpɔtam ahorow mu no so.","Mmabun betumi akari pɛ wɔ wɔn ankasa gyidi ne gyinapɛn ahorow ne wɔn mmusua ne mpɔtam hɔfo amammerɛ ne nyamesom akwanhwɛ ahorow a ɛfa nna mu nneyɛe ne awo ho gyinaesi ho denam: Wobetumi de wɔn ho ahyɛ nna mu akwahosan ho adwumayɛfo a wogye wɔn di ne wɔn a wɔde wɔn ho hyɛ mu no mu, na wɔahwɛ ahu sɛ wɔn gyidi ne wɔn gyidi ahorow yɛ pɛ. Wobetumi nso de wɔn adwene asi gyinaesi ahorow a ɛfata so, na wɔabu wɔn ho wɔn ho atɛn denam wɔn ankasa gyidie ne gyidi ahorow a wɔbɛda no adi wɔ wɔn abusua ne wɔn mpɔtam ahorow mu no so.","Mmabun betumi akari pɛ wɔ wɔn ankasa gyidi ne gyinapɛn ahorow ne wɔn mmusua ne mpɔtam hɔfo amammerɛ ne nyamesom akwanhwɛ ahorow a ɛfa nna mu nneyɛe ne awo ho gyinaesi ho denam: Wobetumi de wɔn ho ahyɛ nna mu akwahosan ho adwumayɛfo a wogye wɔn di ne wɔn a wɔde wɔn ho hyɛ mu no mu, na wɔahwɛ ahu sɛ wɔn gyidi ne wɔn gyidi ahorow yɛ pɛ. Wobetumi nso de wɔn adwene asi gyinaesi ahorow a ɛfata so, na wɔabu wɔn ho wɔn ho atɛn denam wɔn ankasa gyidie ne gyidi ahorow a wɔbɛda no adi wɔ wɔn abusua ne wɔn mpɔtam ahorow mu no so."
ID_TS_Aka_Gha_392456DE,"Sɛ wote nka sɛ wobɛka wo hokafo sɛ wowɔ nna mu yareɛ (STI) a, fa wadwene si saa nkɔmmɔbɔ no so: Fa wo ho hyɛ nkɔmmɔdie a ɛda adi pefee a wobɛka no adi pefee mu, te sɛ wo ne wadamfo anaa akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso a wobɛda no adi no ase, na siesie wo ho ma wo ho a wobɛhyɛ mu den. Fa wahye si hɔ sɛ wobɛda wo ho adi pefee na woadi nkitaho a emu da hɔ na woahwehwɛ mmoa afi wawofo hɔ. Hwehwɛ mmoa fi mpanyimfo a wogye wɔn di hɔ, afotufo, anaa afotufo hɔ de di nkitaho no ho dwuma.","Sɛ wote nka sɛ wobɛka wo hokafo sɛ wowɔ nna mu yareɛ (STI) a, fa wadwene si saa nkɔmmɔbɔ no so: Fa wo ho hyɛ nkɔmmɔdie a ɛda adi pefee a wobɛka no adi pefee mu, te sɛ wo ne wadamfo anaa akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso a wobɛda no adi no ase, na siesie wo ho ma wo ho a wobɛhyɛ mu den. Fa wahye si hɔ sɛ wobɛda wo ho adi pefee na woadi nkitaho a emu da hɔ na woahwehwɛ mmoa afi wawofo hɔ. Hwehwɛ mmoa fi mpanyimfo a wogye wɔn di hɔ, afotufo, anaa afotufo hɔ de di nkitaho no ho dwuma.","Sɛ wote nka sɛ wobɛka wo hokafo sɛ wowɔ nna mu yareɛ (STI) a, fa wadwene si saa nkɔmmɔbɔ no so: Fa wo ho hyɛ nkɔmmɔdie a ɛda adi pefee a wobɛka no adi pefee mu, te sɛ wo ne wadamfo anaa akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso a wobɛda no adi no ase, na siesie wo ho ma wo ho a wobɛhyɛ mu den. Fa wahye si hɔ sɛ wobɛda wo ho adi pefee na woadi nkitaho a emu da hɔ na woahwehwɛ mmoa afi wawofo hɔ. Hwehwɛ mmoa fi mpanyimfo a wogye wɔn di hɔ, afotufo, anaa afotufo hɔ de di nkitaho no ho dwuma."
ID_TS_Aka_Gha_23B8C1E9,"Ahyeɛ a ɛfata ne nhwehwɛm bere a wɔde di dwuma bere a wode intanɛt so adwenemyareɛ ho mmoa nneɛma redi dwuma no betumi ayɛ afotuo a ɛfa ahyeɛ ho, a nea ɛka ho ne: Nhwɛsoɔ a wobɛda no adi pefee na woadi ho dwuma berɛ a wode di dwuma no: Fa wo ho to wo ho so: Fa wadwene si wahyeɛ ne wahiadeɛ ahorow so na ama woahwɛ ahu sɛ wo ho tɔ wo sɛ wode bedi dwuma yiye. Adwene mu Akwahosan Ho Dwumadibea: Wo ne akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso nni nkitaho, na fa wo ho hyɛ tebea horow a ahobammɔ wom mu.","Ahyeɛ a ɛfata ne nhwehwɛm bere a wɔde di dwuma bere a wode intanɛt so adwenemyareɛ ho mmoa nneɛma redi dwuma no betumi ayɛ afotuo a ɛfa ahyeɛ ho, a nea ɛka ho ne: Nhwɛsoɔ a wobɛda no adi pefee na woadi ho dwuma berɛ a wode di dwuma no: Fa wo ho to wo ho so: Fa wadwene si wahyeɛ ne wahiadeɛ ahorow so na ama woahwɛ ahu sɛ wo ho tɔ wo sɛ wode bedi dwuma yiye. Adwene mu Akwahosan Ho Dwumadibea: Wo ne akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso nni nkitaho, na fa wo ho hyɛ tebea horow a ahobammɔ wom mu.","Ahyeɛ a ɛfata ne nhwehwɛm bere a wɔde di dwuma bere a wode intanɛt so adwenemyareɛ ho mmoa nneɛma redi dwuma no betumi ayɛ afotuo a ɛfa ahyeɛ ho, a nea ɛka ho ne: Nhwɛsoɔ a wobɛda no adi pefee na woadi ho dwuma berɛ a wode di dwuma no: Fa wo ho to wo ho so: Fa wadwene si wahyeɛ ne wahiadeɛ ahorow so na ama woahwɛ ahu sɛ wo ho tɔ wo sɛ wode bedi dwuma yiye. Adwene mu Akwahosan Ho Dwumadibea: Wo ne akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso nni nkitaho, na fa wo ho hyɛ tebea horow a ahobammɔ wom mu."
ID_TS_Aka_Gha_BC8960A9,Wubetumi anya awerɛhyem sɛ adwenemyare ho nnwoma a wuhu no yɛ kokoamsɛm na wɔrenka nkyerɛ wawofo a wompene so denam: Wo sukuu ɔyarehwɛfo anaa akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso a wobɛhwehwɛ mu no so.,Wubetumi anya awerɛhyem sɛ adwenemyare ho nnwoma a wuhu no yɛ kokoamsɛm na wɔrenka nkyerɛ wawofo a wompene so denam: Wo sukuu ɔyarehwɛfo anaa akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso a wobɛhwehwɛ mu no so.,Wubetumi anya awerɛhyem sɛ adwenemyare ho nnwoma a wuhu no yɛ kokoamsɛm na wɔrenka nkyerɛ wawofo a wompene so denam: Wo sukuu ɔyarehwɛfo anaa akwahosan ho ɔyaresafo a wowɔ ne mu ahotoso a wobɛhwehwɛ mu no so.
ID_TS_Aka_Gha_1A3D1FA7,"Nsɛm ho amanneɛbɔfo kwan a wɔfa so kyere ɔbaa ne ɔbarima bɔbea no betumi anya sɛnea mmabun hu wɔn ho ne afoforo ho nsunsuansoɔ wɔ akwan horow so. Wobetumi ahyɛ ɔbarima ne ɔbaa bɔbea a egu ahorow na ɛyɛ papa ho nkuran denam: Nsɛm a wɔbɛda no adi pefee, nsɛm a ɛyɛ nokware, ne nsɛm a wɔka de gyina akyi a wɔbɛma anya nkɔso so. Nsɛm a wɔka fa ɔbarima ne ɔbea nna ho nsɛm ho a wɔbɛhyɛ ho nkuran, na wɔama mmabun ate nka sɛ wɔn ho tɔ wɔn sɛ wɔbɛda wɔn ho adi na wɔadi wɔn ho wɔn ho so. Nkɔmmɔbɔ a ɛda adi pefee a wɔbɛkamfo akyerɛ denam nsɛm a wɔbɛka akyerɛ wɔn a wɔde wɔn ho bɛhyɛ mu no so.","Nsɛm ho amanneɛbɔfo kwan a wɔfa so kyere ɔbaa ne ɔbarima bɔbea no betumi anya sɛnea mmabun hu wɔn ho ne afoforo ho nsunsuansoɔ wɔ akwan horow so. Wobetumi ahyɛ ɔbarima ne ɔbaa bɔbea a egu ahorow na ɛyɛ papa ho nkuran denam: Nsɛm a wɔbɛda no adi pefee, nsɛm a ɛyɛ nokware, ne nsɛm a wɔka de gyina akyi a wɔbɛma anya nkɔso so. Nsɛm a wɔka fa ɔbarima ne ɔbea nna ho nsɛm ho a wɔbɛhyɛ ho nkuran, na wɔama mmabun ate nka sɛ wɔn ho tɔ wɔn sɛ wɔbɛda wɔn ho adi na wɔadi wɔn ho wɔn ho so. Nkɔmmɔbɔ a ɛda adi pefee a wɔbɛkamfo akyerɛ denam nsɛm a wɔbɛka akyerɛ wɔn a wɔde wɔn ho bɛhyɛ mu no so.","Nsɛm ho amanneɛbɔfo kwan a wɔfa so kyere ɔbaa ne ɔbarima bɔbea no betumi anya sɛnea mmabun hu wɔn ho ne afoforo ho nsunsuansoɔ wɔ akwan horow so. Wobetumi ahyɛ ɔbarima ne ɔbaa bɔbea a egu ahorow na ɛyɛ papa ho nkuran denam: Nsɛm a wɔbɛda no adi pefee, nsɛm a ɛyɛ nokware, ne nsɛm a wɔka de gyina akyi a wɔbɛma anya nkɔso so. Nsɛm a wɔka fa ɔbarima ne ɔbea nna ho nsɛm ho a wɔbɛhyɛ ho nkuran, na wɔama mmabun ate nka sɛ wɔn ho tɔ wɔn sɛ wɔbɛda wɔn ho adi na wɔadi wɔn ho wɔn ho so. Nkɔmmɔbɔ a ɛda adi pefee a wɔbɛkamfo akyerɛ denam nsɛm a wɔbɛka akyerɛ wɔn a wɔde wɔn ho bɛhyɛ mu no so."
